Ghaziabad,"Ghaziabad extends vacation till Tuesday, but not Noida","NOIDA/GHAZIABAD: Taking a cue from Delhi, which ordered a shutdown of all schools till Class VIII for one week (till July 8), the Ghaziabad administration has ordered the same for two days (till July2) in wake of the severe heatwave. Ghaziabad district magistrate Ritu Maheshwari has ordered an extention of the summer vacations of schools in the district. The schools, private and government, which were supposed to open on July 1 will now reopen on July 3. Meanwhile, Gautam Budh Nagar DM B N Singh has refrained from giving any such order. “The heatwave is definitely more than it should be in July, but I have not ordered a shutdown of schools in the district,” Singh told TOI. Besides, according to Singh, the Uttar Pradesh government has initiated a one-month ‘school chalo abhiyan’ (go-to-school campaign) across the state, and it will run from July 1 to 31 across all government schools. “Shutting down schools in such a scenario will lead to a derailment of the campaign,” he said. In Ghaziabad, government schools have been asked to continue with the campaign and also hold the pre-decided rally under the initiative on July 1. "
Ghaziabad,"Ghaziabad: No power in Crossings, locals spend night on road","GHAZIABAD: Some residents of the city had to bear with the deadly summer cocktail of soaring temperatures and long hours of power cuts on Saturday. The residents of GH-7 society in Crossings Republik were forced to spend the entire Saturday night on roads, parks and cars due to continuous power outage. The situation was aggravated after diesel generator sets of two towers (7 and 8) of the society malfunctioned. According to the residents, the power supply was interrupted by the electricity department in Crossings Republik from 11 pm on Saturday to 6.30 am on Sunday due to some local fault. They blamed the Crossings Infra Private Ltd (CIPL), a group of private developers who provide and maintain basic amenities in the township for a monthly payment, for its failure to provide power supply through DG sets. Vishal Tripathi, a resident, said, “There are 336 flats in towers 7 and 8 of the society, in which 1,400 people live. There was no power in the two towers for over four hours. There are several elderly people and children, who had a harrowing time on Saturday in this hot and humid weather. The CIPL is least interested to look into our problems. We kept making calls to the officials, but in vain.” Rohit Chaudhary, president of GH7, said, “The society does not have an estate manager for the past two months. The problem with the specific DG sets has been persisting for the past many years. We spoke to the CIPL’s senior officials, but no action was taken to rectify them.” Residents complained that a similar incident had taken place three weeks ago, yet DG set issue was not resolved. Kameshwar Prasad Pandey, deputy general manager (electricity), CIPL, denied the allegations that DG power supply was interrupted for four hours. “At present, DG sets are required to be switched on manually. So every time it takes around 15 minutes to start them. On Monday, we are going to replace them with automatic ones.” "
Ghaziabad,Pink letterboxes in Ghaziabad for schoolgirls,"GHAZIABAD: After pink jackets for anti-Romeo squads, Ghaziabad police have decided to install pink letterboxes in all private as well as government schools in the district, where girl students can drop anonymous complaints of harassment. Moreover, following Noida police, they are also planning to issue red cards to eve-teasers through anti-Romeo squads. SSP Upendra Kumar Agrawal said the department would study the initiative first before implementing it here. “It is a good initiative and there is no harm in implementing it. But before doing so we will study it,” the SSP said. As far as installation of letterboxes is concerned SP (City) Shlok Kumar said, “Every week school principals and the SHOs of the concerned area will open the letterboxes and go through the letters. Based on the complaints, an investigation would be done and remedial action would be taken accordingly.” Talking about the one-month special drive on girl security, SP (rural) Neeraj Kumar Jadaun said “Every day each of the 16 police stations will conduct an awareness class where students would be apprised about safety measures. Special teams have been formed for this purpose.” The anti-Romeo squads, which have been reactivated in the district following the order of UP chief minister Yogi Adityanath, will don a distinctive pink jacket with florescent strips while conducting patrolling near schools, colleges and public places at specific times during the day. In the second inning, the squads will look more organised in its functioning as specific timings have been fixed for their working. Now, each of the 16 police stations of the district has a dedicated anti-Romeo squad headed by a sub-inspector. Other members include constables and head constables. Police are also ensuring the presence of at least one female cop in the squad. UP minister Suresh Kumar Khanna, who is in-charge of Ghaziabad, took a crime review meeting on Sunday. He urged cops to maintain discipline and behave politely with the public. "
Lucknow,"Teen abducted, gang-raped in UP","LUCKNOW: Just 24 hours after the horrific gang rape of a class VIII girl in a government school at Maholi in Sitapur, another gang rape of a minor girl was reported from Sadarpur area in the same district. A case has been registered against five persons. The teen told police that she was abducted and raped at gunpoint. The 13-year-old survivor told police that she had gone to attend nature’s call some distance away from her residence in the evening on Friday, June 27. “Two youths of another village came and pointed a pistol at me and took me to a secluded place where three others were present. They raped me in turns,” the survivor told police in her complaint. The accused dumped the traumatised survivor near her house in the wee hours of June 28 and fled, said police. A profusely bleeding survivor reached home and narrated her ordeal to her parents, but her family informed police on Sunday. Police said a case of gang rape has been registered against five persons and efforts are on to arrest them. Sitapur SP L R Kumar told TOI, “The survivor has said in her statement that she was gang-raped at gun point.” The preliminary medical reports of the survivor ruled out gang rape but a detailed report is awaited, he added. "
Lucknow,"Cover expressway to Agra in less than 3 hours, get challaned","LUCKNOW: To curb speeding that has turned Lucknow-Agra expressway into a death trap, commuters would be slapped with a challan if they cover the 302km distance in less than three hours. This was announced on Sunday by officials of UP Expressway Industrial Development Authority (UPEIDA), who set a speed limit of 100km/hour on the e-way. Chief executive officer, UPEIDA, Avanish Awasthi, said data collected at two toll plazas — one near Lucknow and another at Agra — will be collated to assess time taken by commuters to cover the distance between the twin toll plazas. “Errant vehicles will be photographed and an echallan sent to the police in Agra and Lucknow. The process has begun and 25 commuters have been fined, he said. Spiralling cases of accidents on the expressway have been attributed to speeding. Agra e-way prone to accidents Two days ago, seven people died when a double-decker private sleeper bus rammed a sand laden truck near Fatehabad on Agra-Lucknow expressway. On June 21, three persons, including a techie employed with a Noidabased firm were killled when their car rammed a cargo container parked on the side lane of the expressway. In May, another five people died and at least 30 injured near Devkhari village near Bangarmau police station. A bus carrying passengers from Delhi to Bihar overturned after hitting a tractor trolley. "
Lucknow,"Where’s night patrol? Bullets fly near Durgapuri Metro station, 1 dead","LUCKNOW: Cocking a snook at claims of stringent night patrolling, two assailants opened fire on two businessmen and looted Rs 2 lakh near Durgapuri Metro station in Alambagh on Sunday night. The victims, Manoj Bhattacharya (45) and Ashu Bajaj (48) were rushed to KGMU Trauma Centre, where the former was declared brought dead. “Around 10pm, Bhattacharya went to drop Bajaj, a dealer of digital wrist watches in Delhi, to Charbagh railway station on a two-wheeler. When the duo reached near Durgapuri Metro station, two bikeborne youths intercepted them and a verbal spat ensued. In a fit of rage, the man riding pillion opened fire on Bhattacharya and the bullet pierced his shoulder. Before Bajaj realised, several rounds were fired and one of the bullets also grazed past him,” said Sanjeev Sinha, circle officer, Alambagh. Assailants fled with cash bagBefore fleeing, the accused took away a bag stashed with Rs 2 lakh and clothes, Sinha said. Hearing gun shots, locals rushed to the spot and informed the police. Police took the injured to a hospital in Alambagh, where doctors referred them to KGMU trauma centre. IG Lucknow range SK Bhagat told TOI the motive of the murder is yet to the ascertained. “Prima facie it seems an argument took place between businessmen and killers over a monetary issue. But it is yet to be substantiated,"" he added. "
Lucknow,"Stifled at home, Bihar boys take train to Lucknow","LUCKNOW: Four boys, the youngest 9-year-old and eldest 12, ran away from their homes in Aurangabad, Bihar, on being scolded for remaining glued to the television and watching cricket world cup matches. The boys stole money from their homes and took a train to Lucknow. A team of city police, alerted about the boys boarding a train to Lucknow, found them having breakfast at a restaurant in Naka Hindola on Sunday. Naka SHO, Sujeet Dubey said the boys, residents of one colony, were watching the New Zealand-Australia match on June 25 when they were scolded by their parents. ""Hurt by the scolding, they planned to leave their homes and go on a holiday alone. They went to railway station and boarded a train,"" added Dubey. Their parents got apprehensive when they couldn't find them and informed police which checked the CCTV footage at bus and railway stations. The railway station footage showed them boarding a Lucknow-bound train. Aurangabad police alerted Naka police which started looking around in parks and restaurants in Charbagh. ""The boys said that they had chalked out a 15-day tour. They said they were never taken on outing and were not allowed to watch cricket,"" he said. ""We thought of enjoying a ride in Metro train and being away for 15 days so that our parents realize and let us do what we want,"" said the eldest. "
Lucknow,"Morning rain tames mercury, monsoon to hit Lucknow tomorrow","LUCKNOW: The weather went on a roller-coaster ride on Sunday with heavy premonsoon showers bringing relief in the morning, but the blistering sun returning to torment citizens along with high humidity by noon. The good news is that hot and sultry days may finally be over, as the monsoon current that was stuck over Sultanpur-Lakhimpur Kheri, around 150km from the state capital, is inching closer to the city and may tiptoe in by Tuesday. State Met director JP Gupta said a low-pressure area over the Bay of Bengal was likely to intensify on Monday. “It will fuel moisture incursion into the atmosphere and propel the southwest monsoon lying dormant over Sultanpur-Lakhimpur Kheri. The current will cover some more parts of the state, including Lucknow, by Tuesday-Wednesday,” he said. Sporadic pre-monsoon rain began around 6.30am and continued till 8am, with downpour for around 30 minutes in between. The maximum temperature at 36.1°C stayed well below the oppressive mark, but relative humidity at 84% kicked up the the discomfort index (DI) to 34.1 degrees. In Met parlance, it is “severe” and “detrimental to health”. The DI at night was 21.1 degrees. No significant change in temperatures is expected on Monday. The maximum will hover around 37°C and minimum around 23°C degrees Celsius, although there are possibilities of another round of pre-monsoon showers, besides partly cloudy skies. Light to moderate rainfall is expected on Tuesday and Wednesday while widespread and heavy showers have been predicted for Thursday. Power pangs amid premonsoonshowers:The showers triggered marathon power cuts in areas like Husainganj, Charbagh, Lalbagh, Kaiserbagh, Wazirganj, Victoria Street, Shahmeena Road, Aishbagh, Mawwaiya, some parts of Gomtinagar, Aliganj, Purania and many adjoining areas. Lesa chief engineer Madhukar Verma said: “There was a power shutdown for few minutes in some areas, which was due to ongoing renovation work.” "
Lucknow,What’s vulgarity? Panel to find out yet to be formed,"LUCKNOW: Though the district administration on Saturday, reaffirmed its four-year old stand on “no-vulgarity in clothing or activity” inside Imambara premises to honour the religious sanctity of the historic Shia shrine, its promise to clerics and Shia community that a committee will be set up to hammer out decency norms still rings hollow. On June 26, 2015, after the 20-day stir led by Shia cleric Maulana Kalbe Jawaad, seeking a dress code at the Bada and Chhota Imambara among other demands, it was announced that a verbal agreement had been reached on forming an Imambara Committee. The panel was supposed to include senior Shia clerics, historians and members of the Awadh royal family to decide on do’s and don’ts inside the 235-year-old Imambara, including dress norms. But, after four years, no such committee was formed and the decency quotient remains fuzzy. Talking to TOI on Sunday, Maulana Kalbe Jawad, said, “IAS officer Navneet Sehgal and then district magistrate (DM) Raj Shekhar, had assured us that a committee will be formed. However, nothing was done. I was never consulted on any decision on the Imambaras. We demand that norms followed in Delhi’s Jama Masjid and Amritsar’s Golden Temple, where tourists are cover their heads and legs, should also be enforced at Imambaras, which are our live religious monuments.” However, the district magistrate, Kaushal Raj Sharma, said, while the committee is yet to be formed, necessary action is being taken. “Even without a committee, we have been doing the needful. We are aware of cleanliness and maintenance issues. And we keep getting letters and suggestions from people and we take note of them.” He also said, “It would be controversial to make such a committee since the Shia community has several clerics, many of whom hold opposing views. The monuments are a trust of the government and we are taking good care of them.” The district administration is currently in control of the Husainabad and Allied Trust (HAT) which was a Nawabi-era body formed to look into management of monuments in the Husainabad area. "
Lucknow,"Dress code fuzzy: Day after DM’s order, confusion rules","LUCKNOW: In the absence of any written order by district administration on the dress code and no clarity over the definition of ‘decency’, confusion prevailed among tourists visiting the Bada Imambara on Sunday. Some heated arguments between tourists and guides kept happening throughout the day with some returning home disappointed. The district administration later said that a final order on what is ‘decent’, will be issued in few days and put on boards at various spots in Imambara. Tourists arriving at Imambara were checked by Husainabad and Allied Trust (HAT) employees for inappropriate clothes. When the employees were asked to produce a written order, they failed to produce any. Guides at the main hall entrance which leads to shahnasheen (sanctum sanctorum), were seen handing out dupattas to tourists for covering their heads while entering the hall. Mubashir Ali, a worker, told TOI, “Heads are to be covered ever since an agitation was launched in 2015. But yesterday, we were been asked to be extra vigilant since the district administration’s meeting and the fact that action will be taken against employees if obscenity is reported anywhere in Imambara.” District magistrate, Kaushal Raj Sharma, who is also the ex-officio chairperson of HAT, said, “Everyone is expected to maintain decency while entering a mosque, temple or gurdwara, and the same is expected of tourists coming to Bada Imambara. The emotional religious value of Imambara cannot be overlooked, we have to find a balance.” “There is no dress code but tourists,both men andwomen, wearing shorts or skirts will be denied entry. Covering head is optional since we cannot enforce any orthodox rule to tick away tourists,” he added. (With inputs from Niba Mirza) "
